Product name,Category,SKU,Price CZK,Price EUR,Imp. Cost EUR,Imp. Cost CZK
4XC trục nhỏ,Đầu bào,DB-4XCTRU-000093,200,8,3.46,83.22
Vỏ nhám trắng M ⌗240 (100c),Tools & Accessories,TA-VONHA-000094,150,6,1.28,30.60
Găng tay Latex trắng - S,Tools & Accessories,TA-GANTAY-000095,200,8,3.49,83.76
Găng tay Latex trắng - M,Tools & Accessories,TA-GANTAY-000096,200,8,3.49,83.76
Chà chân 2 mặt,Tools & Accessories,TA-CHACHA-000097,25,1,0.60,14.30
Nước rửa cọ 120ml,Hoá chất,HC-NUORUA-000098,450,18,8.01,192.37
Bào gầm,Đầu bào,DB-BAOGAM-000099,180,8,0,63.81
Gel đính đá,Hoá chất,HC-GELDIN-000100,200,5,0.75,17.61
BNS keo,Hoá chất,HC-BNSKEO-000101,12,0.6,0.39,9.00
15ml top coat tím loãng,Top Coat,TC-15MTOP-000102,200,10,4.87,114.06
Tip Trong Vuông XXL - Lẻ,Tips,TIP-TIPTRO-000103,25,1,0.28,6.59
Chổi phủi bàn,Tools & Accessories,TA-CHOPHU-000104,180,8,4.14,98.49
Spa tablets 2gal 4000 viên,Hoá chất,HC-SPATAB-000105,4300,180,0,3484.17
Nhũ đường,Design,DES-NHUDUO-000106,250,10,2.86,68.14
Bút quan tài sz18,Bút,BUT-BUTQUA-000107,1300,53,20.02,481.26
Bút gel - vuông 10,Bút,BUT-BUTGEL-000108,150,6,2.43,58.35
Súng bào korea,Đồ điện,DD-SUNBAO-000109,350,15,4.75,114.10
XC,Đầu bào,DB-XC-000110,180,8,2.99,71.96
Bao ngón cái 500c,Tools & Accessories,TA-BAONGO-000111,100,4,2.09,50.14
Top coat 500ml,Top Coat,TC-TOPCOA-000112,2200,80,37.09,893.61
Chrome trắng gương 1g,Design,DES-CHRTRA-000113,120,10,4.82,118.18
Top matte 250ml,Hoá chất,HC-TOPMAT-000114,1200,50,13.17,317.23
Chà chân 1 lần 400c,Tools & Accessories,TA-CHACHA-000115,1300,55,21.74,532.49
Bào mịn Diamond - M,Đầu bào,DB-BAOMIN-000116,100,4,1.12,27.27
Mịn Fusion - C,Đầu bào,DB-MINFUS-000117,170,8,3.09,75.39
Mịn Fusion - F,Đầu bào,DB-MINFUS-000118,170,8,3.09,75.39
3XC răng thẳng,Đầu bào,DB-3XCRAN-000119,180,8,3.28,79.97
4XC răng thẳng,Đầu bào,DB-4XCRAN-000120,180,8,3.28,79.97
Trục nhám rẻ,Đầu bào,DB-TRUNHA-000121,50,2,0.37,8.94
Bút cán gỗ sz18,Bút,BUT-BUTCAN-000122,1300,53,20.41,497.91
Chrome liquid - ngọc trai,Design,DES-CHRLIQ-000123,120,5,2.42,58.91
Base coat 250ml,Hoá chất,HC-BASCOA-000124,1200,50,10.51,261.78
Top loang - Blooming gel 15ml,Hoá chất,HC-TOPLOA-000125,250,10,3.20,77.64
5in1 Pedicure kit xanh,Tools & Accessories,TA-5INPED-000126,1470,60,20.28,491.06
Buffer đen cam 3 mặt,Tools & Accessories,TA-BUFDEN-000127,12,0.5,0.42,10.12
Tip ballerina - lẻ,Tips,TIP-TIPBAL-000128,20,0.8,0.60,14.61
Kim tuyến DL10-18,Design,DES-KIMTUY-000129,250,10,2.39,57.79
Kim tuyến DL01-09,Design,DES-KIMTUY-000130,250,10,1.20,29.01
Kim tuyến sáng 23g DL01-09,Design,DES-KIMTUY-000131,150,6,1.90,46.09
Cốc liquid,Tools & Accessories,TA-COCLIQ-000132,100,4,1.62,39.12
XXS - Đầu tròn ULTRA,Đầu bào,DB-XXS-000133,180,8,2.31,55.99
Bào viên đạn,Đầu bào,DB-BAOVIE-000134,180,8,2.58,62.51
4XC Đầu tròn ULTRA,Đầu bào,DB-4XCDAU-000135,180,8,2.31,55.99
Cán dao cạo chân - đen,Tools & Accessories,TA-CANDAO-000136,130,5,0,24.96
Nhũ đường - T,Design,DES-NHUDUO-000137,250,10,0.81,19.62
Kem mềm da,Hoá chất,HC-KEMMEM-000138,870,35,17.92,440.58
Liquid mango,Hoá chất,HC-LIQMAN-000139,1600,65,44.81,1101.45
Vỏ nhám Mini - 100c,Tools & Accessories,TA-VONHA-000140,150,6,1.91,47.23
Vỏ nhám Mini - 1000c,Tools & Accessories,TA-VONHA-000141,1000,40,15.60,384.85
Vỏ nhám trắng ⌗150 - M,Tools & Accessories,TA-VONHA-000142,200,7,1.29,31.86
Súng bào máy tím,Đồ điện,DD-SUNBAO-000143,1200,50,32.55,805.13
Vòng bi dưới máy tím - to,Đồ điện,DD-VONBI-000144,170,7,2.67,65.96
Vòng bi dưới máy tím - nhỏ,Đồ điện,DD-VONBI-000145,150,6,2.67,65.96
Bột - Natural white,Bột,BOT-BOT-000146,840,35,19.27,476.93
Xô Gel Scrub - Mint 23KG,Hoá chất,HC-XOGEL-000147,2750,110,0,1663.86
Cuticle Oil - Pineapple 1gal,Hoá chất,HC-CUTOIL-000148,875,35,18.27,459.91
Top coat tím Medium 500ml,Top Coat,TC-TOPCOA-000149,2200,80,23.49,591.07
Top coat tím Medium 15ml,Top Coat,TC-TOPCOA-000150,200,8,1.54,38.84
Color Acrylic powder 2oz,Bột,BOT-COLACR-000151,250,10,3.32,83.46
Tay bào Trắng Korea,Đồ điện,DD-TAYBAO-000152,2000,80,22.96,577.70
Súng tay bào Trắng Korea,Đồ điện,DD-SUNTAY-000153,375,15,6.05,152.31
Máy bào Korea Trắng,Đồ điện,DD-MAYBAO-000154,3600,150,36.41,916.21
Típ làm mẫu 20 màu 10 bảng/set,Tools & Accessories,TA-TIPLAM-000155,100,4,0.62,15.67
Tay cầm bấm móng inox,Tools & Accessories,TA-TAYCAM-000156,150,6,95.81,2411.03
Dũa nhỏ Precision 100/100,Dũa,DUA-DUANHO-000157,375,15,4.79,120.56
Tips natur ballerina ngắn,Tips,TIP-TIPNAT-000158,290,10,2.10,53.20
Lõi súng G5,Đồ điện,DD-LOISUN-000159,1250,50,24.32,614.12
Dây tay máy tím 3 chân,Đồ điện,DD-DAYTAY-000160,150,6,2.43,61.41
Bột - Intense Pink,Bột,BOT-BOT-000161,840,35,0,477.31
Bút đắp hoa 3D 2 đầu,Bút,BUT-BUTDAP-000162,450,18,0,163.94
Bút đắp bột Davie sz16,Bút,BUT-BUTDAP-000163,1200,48,0,472.02
Chổi rắc nhũ,Bút,BUT-CHORAC-000164,90,4,0.82,20.59
Bút vẽ cọ,Bút,BUT-BUTVE-000165,125,5,1.59,39.88
Bút vẽ hoa cúc,Bút,BUT-BUTVE-000166,125,5,1.49,37.31
Dây cắm O japan,Đồ điện,DD-DAYCAM-000167,150,6,2.43,60.92
Mịn thông XF,Đầu bào,DB-MINTHO-000168,180,8,2.57,64.32
5in1 Phá volcano 4XC,Đầu bào,DB-5INPHA-000169,210,10,2.43,60.92
5XC,Đầu bào,DB-5XC-000170,180,8,2.29,57.26
XXS đầu vác,Đầu bào,DB-XXSDAU-000171,180,8,2.53,63.36
Biển google review,Tools & Accessories,TA-BIEGOO-000172,500,20,2.82,70.66
Trục nhám Mini,Tools & Accessories,TA-TRUNHA-000173,150,6,1.87,46.31
Bút gel - vuông 6,Bút,BUT-BUTGEL-000174,150,6,1.66,41.07
Bút gel quét mầu - vuông 8,Bút,BUT-BUTGEL-000175,150,6,1.80,44.49
Keo DNS Pro 1s,Hoá chất,HC-KEODNS-000176,12,0.5,0.12,3.05
Ultraschall reiniger 5L,Hoá chất,HC-ULTREI-000177,550,20,10.47,258.63
Kìm Nghĩa D555,Tools & Accessories,TA-KIMNGH-000178,190,8,3.11,76.61
50ml - Gel đắp IBD PINK,Gel đắp,GD-50M-000179,350,14,3.78,91.83
Chrome base coat 15ml,Top Coat,TC-CHRBAS-000180,250,10,3.60,87.38
Nam châm Mắt mèo thường,Tools & Accessories,TA-NAMCHA-000181,50,2,0.53,12.95
Chrome ngọc trai 1g,Design,DES-CHRNGO-000182,120,5,0.38,9.28
Nhũ đường D hũ 50gram,Design,DES-NHUDUO-000183,250,10,1.63,40.76
15ml top coat tím đặc,Top Coat,TC-15MTOP-000184,200,10,1.10,27.47
Khẩu trang y tế,Tools & Accessories,TA-KHATRA-000185,50,2,1.00,25.00
Bào nâng gầm,Đầu bào,DB-BAONAN-000186,180,8,3.01,74.66
4XC - Đầu tròn v2,Đầu bào,DB-4XC-000187,200,8,2.34,58.08
3in1 Mịn C - dài,Đầu bào,DB-3INMIN-000188,200,8,2.15,53.48
Bút đắp bột - kim cương - sz18,Bút,BUT-BUTDAP-000189,1300,53,20.09,495.31
Nhám đỏ manicure,Tools & Accessories,TA-NHADO-000190,375,15,9.03,227.30
Máy bào Marathon 3 bạc,Đồ điện,DD-MAYBAO-000191,3600,150,42.84,1079.04
Dây cắm 3 châm Korea,Đồ điện,DD-DAYCAM-000192,150,6,2.25,56.78
Đèn bàn LED đen,Đồ điện,DD-DENBAN-000193,1500,60,31.57,795.10
Cốc nắp vặn liquid,Tools & Accessories,TA-COCNAP-000194,100,4,2.36,49.24
Set lọ inox đựng bột liquid,Tools & Accessories,TA-SETLO-000195,300,12,6.76,170.37
Kê bàn trưng bày,Tools & Accessories,TA-KEBAN-000196,150,6,2.25,56.78
Cốc đựng bột trái tim,Tools & Accessories,TA-COCDUN-000197,100,4,2.20,55.37
Hộp đựng dụng cụ,Tools & Accessories,TA-HOPDUN-000198,30,1.2,0.73,18.45
Túi Đá nhỏ - bạc,Design,DES-TUIDA-000199,100,4,0.51,12.77
Túi Đá nhỏ - 7 màu,Design,DES-TUIDA-000200,100,4,0.56,14.20
Biển mẫu 50 NailArt,Tools & Accessories,TA-BIEMAU-000201,100,4,1.41,35.49
Típ cho bảng tip display,Tools & Accessories,TA-TIPCHO-000202,50,2,0.45,11.36
Quyển bảng màu marble 160,Tools & Accessories,TA-QUYBAN-000203,250,10,3.16,79.51
Quyển bảng màu gold 120,Tools & Accessories,TA-QUYBAN-000204,250,10,3.83,96.55
Quyển bảng màu gold 216,Tools & Accessories,TA-QUYBAN-000205,250,10,4.74,119.27
Quyển bảng màu to 300,Tools & Accessories,TA-QUYBAN-000206,625,25,13.53,340.75
Dũa nhỏ Precision 80/80,Dũa,DUA-DUANHO-000207,375,15,4.79,120.86
Đèn vòng bàn - trắng,Đồ điện,DD-DENVON-000208,1975,79,26.06,657.49
Thùng Túi y tế 4000c,Pedicure,PED-THUTUI-000209,4500,180,36.23,914.14
Thùng Mini buffer 1500c,Pedicure,PED-THUMIN-000210,2500,100,21.39,539.66
Thùng Dũa mini 5000c,Pedicure,PED-THUDUA-000211,6000,240,74.14,1870.74
5XC - Titan Xanh,Đầu bào,DB-5XC-000212,375,15,0,150.02
4XC - tròn nhỏ,Đầu bào,DB-4XC-000213,200,8,2.18,54.96
Bút quan tài sz16,Bút,BUT-BUTQUA-000214,1200,48,18.07,454.97
Tay bào Korea bạc,Đồ điện,DD-TAYBAO-000215,2000,80,20.18,508.09
Chổi than japan,Đồ điện,DD-CHOTHA-000216,250,10,0.92,23.10
Mài da khoé,Đầu bào,DB-MAIDA-000217,170,8,2.61,65.51
Bào mịn 3in1 - F,Đầu bào,DB-BAOMIN-000218,170,8,2.61,65.51
Đèn cầu vòng đính đá,Đồ điện,DD-DENCAU-000219,1975,79,34.04,831.75
Chrome ngọc trai 7 màu,Design,DES-CHRNGO-000220,125,5,3.71,93.13
Chả gọt chân Inox,Tools & Accessories,TA-CHAGOT-000221,200,8,1.08,27.11
Xốp kẹp chân 1000c,Tools & Accessories,TA-XOPKEP-000222,1000,40,21.20,531.01
Kê tay da - ghi,Tools & Accessories,TA-KETAY-000223,200,8,2.94,73.76
Bào gầm khoé nhọn,Đầu bào,DB-BAOGAM-000224,180,8,2.57,64.34
Bào gầm mỏng,Đầu bào,DB-BAOGAM-000225,170,8,2.57,64.34
Chổi đánh bóng,Đầu bào,DB-CHODAN-000226,100,4,0.54,13.60
Bào gầm răng thẳng,Đầu bào,DB-BAOGAM-000227,200,8,2.57,64.34
5XC - đầu tròn,Đầu bào,DB-5XC-000228,180,8,2.57,64.34
M - to tròn,Đầu bào,DB-M-000229,180,8,2.57,64.34
M - nhỏ,Đầu bào,DB-M-000230,180,8,2.57,64.34
Bào mịn 3in1 - M,Đầu bào,DB-BAOMIN-000231,200,8,2.89,72.24
2XC Đầu vát,Đầu bào,DB-2XCDAU-000232,180,8,2.57,64.34
Bột màu 56g Nude collection,Bột,BOT-BOTMAU-000233,300,12,4.23,105.95
Bột - VIP Natural Pink,Bột,BOT-BOT-000234,1000,40,19.75,494.43
Muối ngâm chân 5kg,Pedicure,PED-MUONGA-000235,750,30,0,201.31
Sugar Scrub - Orange 20kg,Pedicure,PED-SUGSCR-000236,3750,150,0,4018.38
Kem Mango Vera 600ml,Hoá chất,HC-KEMMAN-000237,250,10,0,121.06
Sơn Enjoy super trắng,Hoá chất,HC-SONENJ-000238,120,5,0,48.06
Sơn Enjoy super đen,Hoá chất,HC-SONENJ-000239,120,5,0,48.06
Máy Ultraschall 2L,Đồ điện,DD-MAYULT-000240,3000,120,56.10,1404.39
Nhũ đường A 50g,Design,DES-NHUDUO-000241,250,10,1.64,41.08
Nhũ đường B 50g,Design,DES-NHUDUO-000242,250,10,1.64,41.08
Nhũ đường C 50g,Design,DES-NHUDUO-000243,250,10,1.33,33.39
Nhũ bạc phản quang mịn R1 50g,Design,DES-NHUBAC-000244,450,18,9.68,242.45
Bát nhựa ngâm tay,Tools & Accessories,TA-BATNHU-000245,75,3,0.26,6.63
Bạc Foil 3g,Design,DES-BACFOI-000246,125,5,0.85,21.19
Típ làm mẫu trong tròn 50c set,Tools & Accessories,TA-TIPLAM-000247,75,3,0.53,13.26
Nam châm mắt mèo - 5in1,Tools & Accessories,TA-NAMCHA-000248,200,8,2.12,52.99
Chổi vệ sinh đầu mài,Tools & Accessories,TA-CHOVE-000249,100,4,1.06,26.49
Chai sơn không 15ml,Tools & Accessories,TA-CHASON-000250,37.5,1.5,0.06,1.60
Chai primer không 15ml,Tools & Accessories,TA-CHAPRI-000251,37.5,1.5,0.79,19.02
Chai bond không 15ml,Tools & Accessories,TA-CHABON-000252,37.5,1.5,0.79,19.02
Hộp đựng phá tròn trắng,Tools & Accessories,TA-HOPDUN-000253,125,5,0.57,14.32
Bút cán gỗ sz16,Bút,BUT-BUTCAN-000254,1200,48,18.44,466.74
Bút đắp bột - kim cương - sz16,Bút,BUT-BUTDAP-000255,1200,48,18.44,466.74
Tay bào trắng Korea SH20N,Đồ điện,DD-TAYBAO-000256,3400,136,65.51,1658.47
Vòng bi to Japan,Tools & Accessories,TA-VONBI-000257,110,7,1.15,28.25
Vòng bi nhỏ Japan,Tools & Accessories,TA-VONBI-000258,110,6,0.64,15.65
1KG - Gel đắp CLEAR,Gel đắp,GD-1KG-000259,2100,85,0,931.47
1KG - Gel đắp NATURAL PINK,Gel đắp,GD-1KG-000260,2100,85,0,931.47
1KG - Gel đắp MAKEUP ⌗1,Gel đắp,GD-1KG-000261,2100,85,0,931.47
1KG - Gel đắp MAKEUP ⌗2,Gel đắp,GD-1KG-000262,2100,85,0,931.47
1KG - Gel đắp MAKEUP ⌗3,Gel đắp,GD-1KG-000263,2100,85,0,931.47
Cắt fen thường,Tools & Accessories,TA-CATFEN-000264,100,6,0.59,14.93
Cắt fen sâu - E,Tools & Accessories,TA-CATFEN-000265,150,6,0.59,14.93
XXS ULTRA,Đầu bào,DB-XXSULT-000266,180,8,2.60,65.65
XC - tròn,Đầu bào,DB-XC-000267,180,8,2.60,65.65
Bào Mịn SM,Đầu bào,DB-BAOMIN-000268,170,8,2.60,65.65
C - bào lửa,Đầu bào,DB-C-000269,180,8,2.60,65.65
Bào khoé tròn,Đầu bào,DB-BAOKHO-000270,180,8,2.60,65.65
XXS Hoa cúc ULTRA,Đầu bào,DB-XXSHOA-000271,180,8,2.60,65.65
Base coat 15ml,Hoá chất,HC-BASCOA-000272,250,10,1.81,45.78
Sơn màu SORAH 15ml,Sơn màu,SM-SONMAU-000273,100,4,1.63,41.13
SORAH 144 quyển màu,Sơn màu,SM-SOR144-000274,0,0,15.40,389.57
Máy hút bụi bàn di dộng,Đồ điện,DD-MAYHUT-000275,1500,60,28.38,707.12
Dũa Bông hoa đen 80/80,Dũa,DUA-DUABON-000276,650,25,9.20,232.22
Tip Thẳng Straight jet - Lẻ (50c),Tips,TIP-TIPTHA-000277,18,0.7,0,8.49
Vỏ nhám trắng ⌗150 (1000c),Tools & Accessories,TA-VONHA-000278,1000,40,0,350.28
Vỏ nhám trắng ⌗120 - C (1000c),Tools & Accessories,TA-VONHA-000279,1000,40,0,350.28
Vỏ nhám trắng ⌗180 - F (1000c),Tools & Accessories,TA-VONHA-000280,1000,40,9.15,230.92
Set Hộp đá - 7 màu,Design,DES-SETHOP-000281,750,30,7.97,201.00
Set Hộp đá - bạc,Design,DES-SETHOP-000282,750,30,7.08,178.70
Set Hộp đá - vàng,Đồ điện,DD-SETHOP-000283,750,30,8.26,208.35
Set Hộp đá - chữ vàng,Design,DES-SETHOP-000284,875,35,10.33,260.57
Kem Mango Vera 5kg,Hoá chất,HC-KEMMAN-000285,725,29,10.52,265.93
Callus Remover 5kg,Pedicure,PED-CALREM-000286,1125,42,0,377.43
Xô Muối ngâm chân - mịn 23kg,Hoá chất,HC-XOMUO-000287,2500,100,0,898.67
Chổi quét bàn to,Tools & Accessories,TA-CHOQUE-000288,200,8,0,39.64
4XC đầu vát,Đầu bào,DB-4XCDAU-000289,180,8,2.93,74.39
Kìm Nghĩa D01 Mũi 16,Tools & Accessories,TA-KIMNGH-000290,260,12,5.11,125.96
Cây đẩy da,Tools & Accessories,TA-CAYDAY-000291,50,2,0.72,18.23
Aceton 5L,Hoá chất,HC-ACE5L-000292,430,20,9.39,233.92
Cồn IPA70 5L,Hoá chất,HC-CONIPA-000293,380,18,7.08,176.37
Aceton 1L,Hoá chất,HC-ACE1L-000294,200,8,2.64,66.69
Típ thường 50c,Tools & Accessories,TA-TIPTHU-000295,13,0.6,0.17,4.18
Gel vẽ trắng French 50ml,Design,DES-GELVE-000296,250,10,3.78,91.83
Sơn màu Milky White 15ml,Sơn màu,SM-SONMAU-000297,100,4,1.57,38.30
Flash Disco Cat Eye 12 màu,Sơn màu,SM-FLADIS-000298,1500,60,35.15,887.64
Set Phấn nén làm ombre,Design,DES-SETPHA-000299,300,12,4.10,103.44
1KG - Gel đắp MILKY WHITE,Gel đắp,GD-1KG-000300,2100,85,0,931.47
1KG - Gel đắp MILKY PINK,Gel đắp,GD-1KG-000301,2100,85,0,931.47
M - to,Đầu bào,DB-M-000302,180,8,2.62,66.13
Bào gầm 2.0,Đầu bào,DB-BAOGAM-000303,180,8,2.62,66.13
Phá Shellac,Đầu bào,DB-PHASHE-000304,180,8,2.95,74.55
Mịn thông M,Đầu bào,DB-MINTHO-000305,180,8,3.71,93.78
Top coat tím đặc 500ml,Top Coat,TC-TOPCOA-000306,2200,80,23.33,589.44
Liner gel vẽ Platinum,Design,DES-LINGEL-000307,150,6,1.69,42.80
Đèn bàn trắng 18W,Đồ điện,DD-DENBAN-000308,1500,60,24.96,629.52
Dũa mỏng nhỏ tròn 100/100,Dũa,DUA-DUAMON-000309,280,12,3.48,86.62
Dũa mỏng nhỏ tròn 80/80,Dũa,DUA-DUAMON-000310,280,12,4.30,108.39
Bột - Clear Nhanh khô,Bột,BOT-BOT-000311,840,35,0,476.81
Bột - Natural Dark Pink,Bột,BOT-BOT-000312,840,35,0,487.52
Chrome base coat 250ml,Hoá chất,HC-CHRBAS-000313,1250,50,15.04,365.19
Giấy làm chân 50x70cm,Tools & Accessories,TA-GIALAM-000314,550,22,0,278.68
Găng tay Nitril đen - S,Tools & Accessories,TA-GANTAY-000315,125,5,2.66,67.00
Găng tay Nitril đen - M,Tools & Accessories,TA-GANTAY-000316,158,5,2.66,67.00
Vỏ nhám tím ⌗150 - M,Tools & Accessories,TA-VONHA-000317,200,7,2.63,66.27
Cốc đựng bột nhỏ,Tools & Accessories,TA-COCDUN-000318,50,2,1.19,30.03
